region,n,cases,n_refined,n_miou_up,n_miou_down,mean_a_miou,mean_s_miou,delta_mean,mean_delta,median_delta,mean_delta_proxy,frac_improved,delta_when_refined
"A: manuscript PoC (proxy∈[0.5,0.7] ∩ GT∈[0.5,0.7])",6,"1-4, 1-5, 2-2, 3-4, 4-1, 4-3",4.0,4.0,0.0,0.5918333333333333,0.6456666666666667,0.0538333333333334,0.053833333333333344,0.0435,0.0433,0.6666666666666666,0.08075000000000002
"B: proxy refine ∩ GT-good (proxy∈[0.5,0.7] ∩ GT≥0.7)",16,"1-1, 1-2, 1-3, 2-4, 3-10, 3-3, 3-6, 3-7, 3-8, 3-9, 4-2, 4-5, 5-2, 5-3, 5-4, 5-5",14.0,8.0,3.0,0.7925625000000001,0.8013125,0.008749999999999925,0.00875,0.0005,0.03226875,0.5,0.009999999999999998
"C: proxy refine ∩ GT-low (proxy∈[0.5,0.7] ∩ GT<0.5)",0,,,,,,,,,,,,
"D: all label-free refine panel (proxy∈[0.5,0.7])",22,"1-1, 1-2, 1-3, 1-4, 1-5, 2-2, 2-4, 3-10, 3-3, 3-4, 3-6, 3-7, 3-8, 3-9, 4-1, 4-2, 4-3, 4-5, 5-2, 5-3, 5-4, 5-5",18.0,12.0,3.0,0.7378181818181818,0.7588636363636364,0.02104545454545459,0.021045454545454548,0.003,0.03527727272727273,0.5454545454545454,0.025722222222222226
"E: mid-proxy / mid-GT tight (proxy∈[0.55,0.65] ∩ GT∈[0.5,0.7])",3,"1-4, 1-5, 4-1",2.0,2.0,0.0,0.58,0.609,0.029000000000000026,0.028999999999999998,0.023,0.056100000000000004,0.6666666666666666,0.0435
"F: high-proxy edge of band (proxy∈[0.65,0.7])",6,"2-2, 2-4, 3-6, 5-2, 5-3, 5-4",5.0,2.0,1.0,0.7765,0.8031666666666665,0.026666666666666505,0.02666666666666667,0.0,0.021766666666666667,0.3333333333333333,0.032
"G: low-proxy edge of band (proxy∈[0.5,0.55])",5,"3-3, 3-4, 3-7, 4-2, 4-3",3.0,2.0,0.0,0.7050000000000001,0.7209999999999999,0.015999999999999792,0.016,0.0,0.03358,0.4,0.02666666666666667
H: reject band (proxy<0.5) — not refined,3,"3-2, 3-5, 4-4",0.0,0.0,0.0,0.5219999999999999,0.5219999999999999,0.0,0.0,0.0,0.0,0.0,
I: accept band (proxy≥0.7) — not refined,2,"2-3, 2-5",0.0,0.0,0.0,0.843,0.843,0.0,0.0,0.0,0.0,0.0,
J: paper nine (legacy definition),9,"1-4, 1-5, 2-2, 3-2, 3-4, 3-5, 4-1, 4-3, 4-4",4.0,4.0,0.0,0.5685555555555555,0.6044444444444443,0.03588888888888886,0.03588888888888889,0.0,0.028866666666666665,0.4444444444444444,0.08075000000000002
K: paper nine ∩ in this run's panel,6,"1-4, 1-5, 2-2, 3-4, 4-1, 4-3",4.0,4.0,0.0,0.5918333333333333,0.6456666666666667,0.0538333333333334,0.053833333333333344,0.0435,0.0433,0.6666666666666666,0.08075000000000002
