region,n,cases,n_refined,n_miou_up,n_miou_down,mean_a_miou,mean_s_miou,delta_mean,mean_delta,median_delta,mean_delta_proxy,frac_improved,delta_when_refined
"A: manuscript PoC (proxy∈[0.5,0.7] ∩ GT∈[0.5,0.7])",6,"1-4, 1-5, 2-2, 3-4, 4-1, 4-3",5.0,5.0,0.0,0.5918333333333333,0.6886666666666666,0.09683333333333333,0.09683333333333334,0.025,0.06401666666666667,0.8333333333333334,0.11620000000000001
"B: proxy refine ∩ GT-good (proxy∈[0.5,0.7] ∩ GT≥0.7)",16,"1-1, 1-2, 1-3, 2-4, 3-10, 3-3, 3-6, 3-7, 3-8, 3-9, 4-2, 4-5, 5-2, 5-3, 5-4, 5-5",10.0,5.0,5.0,0.7925625000000001,0.79725,0.004687499999999956,0.004687499999999999,0.0,0.03906875,0.3125,0.0075000000000000015
"C: proxy refine ∩ GT-low (proxy∈[0.5,0.7] ∩ GT<0.5)",0,,,,,,,,,,,,
"D: all label-free refine panel (proxy∈[0.5,0.7])",22,"1-1, 1-2, 1-3, 1-4, 1-5, 2-2, 2-4, 3-10, 3-3, 3-4, 3-6, 3-7, 3-8, 3-9, 4-1, 4-2, 4-3, 4-5, 5-2, 5-3, 5-4, 5-5",15.0,10.0,5.0,0.7378181818181818,0.7676363636363637,0.029818181818181855,0.02981818181818182,0.0,0.04587272727272728,0.45454545454545453,0.04373333333333334
"E: mid-proxy / mid-GT tight (proxy∈[0.55,0.65] ∩ GT∈[0.5,0.7])",3,"1-4, 1-5, 4-1",3.0,3.0,0.0,0.58,0.7076666666666668,0.12766666666666682,0.12766666666666668,0.022,0.0912,1.0,0.12766666666666668
"F: high-proxy edge of band (proxy∈[0.65,0.7])",6,"2-2, 2-4, 3-6, 5-2, 5-3, 5-4",4.0,1.0,3.0,0.7765,0.7995,0.02300000000000002,0.023000000000000003,-0.0005,0.025400000000000002,0.16666666666666666,0.0345
"G: low-proxy edge of band (proxy∈[0.5,0.55])",5,"3-3, 3-4, 3-7, 4-2, 4-3",2.0,2.0,0.0,0.7050000000000001,0.7184000000000001,0.013400000000000079,0.0134,0.0,0.03872,0.4,0.0335
H: reject band (proxy<0.5) — not refined,3,"3-2, 3-5, 4-4",3.0,3.0,0.0,0.5219999999999999,0.6623333333333333,0.14033333333333342,0.14033333333333334,0.118,0.1032,1.0,0.14033333333333334
I: accept band (proxy≥0.7) — not refined,2,"2-3, 2-5",0.0,0.0,0.0,0.843,0.843,0.0,0.0,0.0,0.0,0.0,
J: paper nine (legacy definition),9,"1-4, 1-5, 2-2, 3-2, 3-4, 3-5, 4-1, 4-3, 4-4",8.0,8.0,0.0,0.5685555555555555,0.679888888888889,0.1113333333333335,0.11133333333333334,0.028,0.07707777777777777,0.8888888888888888,0.12525
K: paper nine ∩ in this run's panel,6,"1-4, 1-5, 2-2, 3-4, 4-1, 4-3",5.0,5.0,0.0,0.5918333333333333,0.6886666666666666,0.09683333333333333,0.09683333333333334,0.025,0.06401666666666667,0.8333333333333334,0.11620000000000001
